curated_path,category,filename,source_in_archive,total_copies_in_archive,size_bytes
03_EVIDENCE/emails/5.12.25 Email Cam Role .png,03_EVIDENCE/emails,5.12.25 Email Cam Role .png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/5.12.25 Email Cam Role .png,1,319867
03_EVIDENCE/emails/6.5.25 Email Cam CB Hostility.png,03_EVIDENCE/emails,6.5.25 Email Cam CB Hostility.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/6.5.25 Email Cam CB Hostility.png,1,415491
03_EVIDENCE/emails/6.5.25 Email to Cam Web Access.png,03_EVIDENCE/emails,6.5.25 Email to Cam Web Access.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/6.5.25 Email to Cam Web Access.png,1,307253
03_EVIDENCE/emails/9.23.25 Email Connor P Proof of Eff.png,03_EVIDENCE/emails,9.23.25 Email Connor P Proof of Eff.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/9.23.25 Email Connor P Proof of Eff.png,1,271798
03_EVIDENCE/emails/BIRE EMAIL BLOCK.docx,03_EVIDENCE/emails,BIRE EMAIL BLOCK.docx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/BIRE EMAIL BLOCK.docx,1,14062
03_EVIDENCE/emails/Case Email Meeting Gun 2025-11-13 at 8.36.15 PM.png,03_EVIDENCE/emails,Case Email Meeting Gun 2025-11-13 at 8.36.15 PM.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/Case Email Meeting Gun 2025-11-13 at 8.36.15 PM.png,1,1063323
03_EVIDENCE/emails/Case_4.15.23 Email ESL to Cam.png,03_EVIDENCE/emails,Case_4.15.23 Email ESL to Cam.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Case_4.15.23 Email ESL to Cam.png,3,172716
03_EVIDENCE/emails/EMAIL HC Google Bus Prof Req.eml,03_EVIDENCE/emails,EMAIL HC Google Bus Prof Req.eml,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Exhibits for Copying/EMAIL HC Google Bus Prof Req.eml,2,371547
03_EVIDENCE/emails/EMAIL No Responses.png,03_EVIDENCE/emails,EMAIL No Responses.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Exhibits for Copying/EMAIL No Responses.png,2,86353
03_EVIDENCE/emails/EMAIL_ALL HANDS NEW OFFICE.eml,03_EVIDENCE/emails,EMAIL_ALL HANDS NEW OFFICE.eml,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Exhibits for Copying/EMAIL_ALL HANDS NEW OFFICE.eml,1,10963
03_EVIDENCE/emails/EMAIL_Christine Brodsky Refusal  2025-11-12 at 10.30.50 AM.png,03_EVIDENCE/emails,EMAIL_Christine Brodsky Refusal  2025-11-12 at 10.30.50 AM.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/EMAIL_Christine Brodsky Refusal  2025-11-12 at 10.30.50 AM.png,1,313850
03_EVIDENCE/emails/EMAIL_HR 04.25.25.docx,03_EVIDENCE/emails,EMAIL_HR 04.25.25.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Exhibits for Copying/EMAIL_HR 04.25.25.docx,2,16878
03_EVIDENCE/emails/Email 2.25 TPhillips Email Media Exposure.png,03_EVIDENCE/emails,Email 2.25 TPhillips Email Media Exposure.png,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/Email 2.25 TPhillips Email Media Exposure.png,1,481076
03_EVIDENCE/emails/Email CB photo requ 2025-11-12 at 10.25.00 AM.png,03_EVIDENCE/emails,Email CB photo requ 2025-11-12 at 10.25.00 AM.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/Email CB photo requ 2025-11-12 at 10.25.00 AM.png,1,278292
03_EVIDENCE/emails/Email HR Payroll.png,03_EVIDENCE/emails,Email HR Payroll.png,99_ARCHIVE/original-tree/LORD V CDI/Email HR Payroll.png,3,528807
03_EVIDENCE/emails/Email Hayley Announced as MD.docx,03_EVIDENCE/emails,Email Hayley Announced as MD.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/WBS TO REVIEWED/Email Hayley Announced as MD.docx,1,14755
03_EVIDENCE/emails/Email Hayleys Sig Blk 2025-11-13 at 7.20.07 PM.png,03_EVIDENCE/emails,Email Hayleys Sig Blk 2025-11-13 at 7.20.07 PM.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Email Hayleys Sig Blk 2025-11-13 at 7.20.07 PM.png,1,363639
03_EVIDENCE/emails/Email Josh Media Request 2025-11-14 at 7.39.59 AM.png,03_EVIDENCE/emails,Email Josh Media Request 2025-11-14 at 7.39.59 AM.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/Email Josh Media Request 2025-11-14 at 7.39.59 AM.png,1,489129
03_EVIDENCE/emails/Email Paul Luck Press Release 2025-11-14 at 7.36.23 AM.png,03_EVIDENCE/emails,Email Paul Luck Press Release 2025-11-14 at 7.36.23 AM.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/Email Paul Luck Press Release 2025-11-14 at 7.36.23 AM.png,1,277812
03_EVIDENCE/emails/Email Website Ownership 2.16.26.pages,03_EVIDENCE/emails,Email Website Ownership 2.16.26.pages,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Email Website Ownership 2.16.26.pages,1,762650
03_EVIDENCE/emails/Email to Ford All Hands Event 2025-11-14 at 7.34.56 AM.png,03_EVIDENCE/emails,Email to Ford All Hands Event 2025-11-14 at 7.34.56 AM.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/Email to Ford All Hands Event 2025-11-14 at 7.34.56 AM.png,1,854220
03_EVIDENCE/emails/Email_ConnorP Fantastic.eml,03_EVIDENCE/emails,Email_ConnorP Fantastic.eml,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Exhibits for Copying/Email_ConnorP Fantastic.eml,2,72565
03_EVIDENCE/emails/Email_MM Lissa Lipsey .png,03_EVIDENCE/emails,Email_MM Lissa Lipsey .png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Exhibits for Copying/Email_MM Lissa Lipsey .png,3,363994
03_EVIDENCE/emails/Email_Monthly Meeting w Ford.png,03_EVIDENCE/emails,Email_Monthly Meeting w Ford.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Exhibits for Copying/Email_Monthly Meeting w Ford.png,2,56075
03_EVIDENCE/emails/Lord v CDI Email Chain Concerns.docx,03_EVIDENCE/emails,Lord v CDI Email Chain Concerns.docx,99_ARCHIVE/original-tree/Uploads/Lord v CDI Email Chain Concerns.docx,3,837554
03_EVIDENCE/images-screenshots/2.14.25 AWrenn Title Announcement.png,03_EVIDENCE/images-screenshots,2.14.25 AWrenn Title Announcement.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/2.14.25 AWrenn Title Announcement.png,1,243979
03_EVIDENCE/images-screenshots/BIRE FRI ACTIVITY REPORT BRODSKY RE HC Metrics.png,03_EVIDENCE/images-screenshots,BIRE FRI ACTIVITY REPORT BRODSKY RE HC Metrics.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/BIRE FRI ACTIVITY REPORT BRODSKY RE HC Metrics.png,1,562194
03_EVIDENCE/images-screenshots/Biltmore Park Opening.JPG,03_EVIDENCE/images-screenshots,Biltmore Park Opening.JPG,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Evidence of Performance/Biltmore Park Opening.JPG,1,165049
03_EVIDENCE/images-screenshots/Brand Strategy Certification.png,03_EVIDENCE/images-screenshots,Brand Strategy Certification.png,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Evidence of Performance/Brand Strategy Certification.png,1,155279
03_EVIDENCE/images-screenshots/Cam Gun Meeting.png,03_EVIDENCE/images-screenshots,Cam Gun Meeting.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Cam Gun Meeting.png,3,1402483
03_EVIDENCE/images-screenshots/Connection Newsletter.png,03_EVIDENCE/images-screenshots,Connection Newsletter.png,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Evidence of Performance/Connection Newsletter.png,1,1282031
03_EVIDENCE/images-screenshots/Ford URL Order CH 2025-11-13 at 2.43.11 PM.png,03_EVIDENCE/images-screenshots,Ford URL Order CH 2025-11-13 at 2.43.11 PM.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/Ford URL Order CH 2025-11-13 at 2.43.11 PM.png,1,251253
03_EVIDENCE/images-screenshots/SM_Certification II.png,03_EVIDENCE/images-screenshots,SM_Certification II.png,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/SM_Certification II.png,1,121778
03_EVIDENCE/images-screenshots/Screenshot 2026-01-04 at 11.10.24 AM.png,03_EVIDENCE/images-screenshots,Screenshot 2026-01-04 at 11.10.24 AM.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/Screenshot 2026-01-04 at 11.10.24 AM.png,1,211083
03_EVIDENCE/images-screenshots/Screenshot 2026-01-18 at 1.05.24 PM.png,03_EVIDENCE/images-screenshots,Screenshot 2026-01-18 at 1.05.24 PM.png,99_ARCHIVE/original-tree/LORD V CDI/Screenshot 2026-01-18 at 1.05.24 PM.png,1,2153986
03_EVIDENCE/images-screenshots/Screenshot 2026-03-08 at 12.42.59 PM.png,03_EVIDENCE/images-screenshots,Screenshot 2026-03-08 at 12.42.59 PM.png,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/Screenshot 2026-03-08 at 12.42.59 PM.png,1,314041
03_EVIDENCE/images-screenshots/Screenshot 2026-03-08 at 12.43.05 PM.png,03_EVIDENCE/images-screenshots,Screenshot 2026-03-08 at 12.43.05 PM.png,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/Screenshot 2026-03-08 at 12.43.05 PM.png,1,340559
03_EVIDENCE/images-screenshots/Screenshot 2026-03-08 at 12.43.34 PM.png,03_EVIDENCE/images-screenshots,Screenshot 2026-03-08 at 12.43.34 PM.png,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/Screenshot 2026-03-08 at 12.43.34 PM.png,1,398048
03_EVIDENCE/images-screenshots/Screenshot 2026-03-08 at 4.22.20 PM.png,03_EVIDENCE/images-screenshots,Screenshot 2026-03-08 at 4.22.20 PM.png,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/Screenshot 2026-03-08 at 4.22.20 PM.png,1,334067
03_EVIDENCE/images-screenshots/Screenshot 2026-03-09 at 6.26.24 PM.png,03_EVIDENCE/images-screenshots,Screenshot 2026-03-09 at 6.26.24 PM.png,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/Screenshot 2026-03-09 at 6.26.24 PM.png,1,298255
03_EVIDENCE/images-screenshots/Screenshot 2026-03-09 at 6.26.39 PM.png,03_EVIDENCE/images-screenshots,Screenshot 2026-03-09 at 6.26.39 PM.png,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/Screenshot 2026-03-09 at 6.26.39 PM.png,1,393838
03_EVIDENCE/images-screenshots/Screenshot 2026-03-16 at 6.22.46 PM.png,03_EVIDENCE/images-screenshots,Screenshot 2026-03-16 at 6.22.46 PM.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Screenshot 2026-03-16 at 6.22.46 PM.png,1,264679
03_EVIDENCE/images-screenshots/Screenshot 2026-03-16 at 6.24.02 PM.png,03_EVIDENCE/images-screenshots,Screenshot 2026-03-16 at 6.24.02 PM.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Screenshot 2026-03-16 at 6.24.02 PM.png,1,276834
03_EVIDENCE/images-screenshots/Screenshot 2026-03-17 at 11.08.34 AM.png,03_EVIDENCE/images-screenshots,Screenshot 2026-03-17 at 11.08.34 AM.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Screenshot 2026-03-17 at 11.08.34 AM.png,1,444217
03_EVIDENCE/images-screenshots/Time Off Request Hayley SHOWS AUTHORITY.png,03_EVIDENCE/images-screenshots,Time Off Request Hayley SHOWS AUTHORITY.png,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Time Off Request Hayley SHOWS AUTHORITY.png,2,166262
03_EVIDENCE/texts/10.24.25 Txt Ford Proof of Eff.png,03_EVIDENCE/texts,10.24.25 Txt Ford Proof of Eff.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/10.24.25 Txt Ford Proof of Eff.png,1,336867
03_EVIDENCE/texts/10.7.25 Txt Ford Video Approval.png,03_EVIDENCE/texts,10.7.25 Txt Ford Video Approval.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/10.7.25 Txt Ford Video Approval.png,2,595005
03_EVIDENCE/texts/ADDENDUM_Firearm_and_Safety_Concerns.txt,03_EVIDENCE/texts,ADDENDUM_Firearm_and_Safety_Concerns.txt,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/ADDENDUM_Firearm_and_Safety_Concerns.txt,1,14720
03_EVIDENCE/texts/IMMEDIATE_ACTION_CHECKLIST.txt,03_EVIDENCE/texts,IMMEDIATE_ACTION_CHECKLIST.txt,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/IMMEDIATE_ACTION_CHECKLIST.txt,1,14111
03_EVIDENCE/texts/INTEGRATION_GUIDE_Firearm_Incident.txt,03_EVIDENCE/texts,INTEGRATION_GUIDE_Firearm_Incident.txt,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/INTEGRATION_GUIDE_Firearm_Incident.txt,1,11758
03_EVIDENCE/texts/Lord v CDI Text Request to HR.PNG,03_EVIDENCE/texts,Lord v CDI Text Request to HR.PNG,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Lord v CDI Text Request to HR.PNG,1,1128192
03_EVIDENCE/texts/Text Cam Re Signatures 2025-11-11 at 7.51.29 PM.png,03_EVIDENCE/texts,Text Cam Re Signatures 2025-11-11 at 7.51.29 PM.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/Text Cam Re Signatures 2025-11-11 at 7.51.29 PM.png,1,418103
04_EXHIBITS/EXHIBIT C_3.18 Notes Mumma Mtg Removal of Authority.docx,04_EXHIBITS,EXHIBIT C_3.18 Notes Mumma Mtg Removal of Authority.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBIT C_3.18 Notes Mumma Mtg Removal of Authority.docx,1,251207
04_EXHIBITS/EXHIBIT C_3.18.25_Notes Mumma Mtg Removal of Authority.docx,04_EXHIBITS,EXHIBIT C_3.18.25_Notes Mumma Mtg Removal of Authority.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBITS 3.15/EXHIBIT C_3.18.25_Notes Mumma Mtg Removal of Authority.docx,1,251191
04_EXHIBITS/EXHIBIT E_4.16.25_Office Reassignment Photo.docx,04_EXHIBITS,EXHIBIT E_4.16.25_Office Reassignment Photo.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBITS 3.15/EXHIBIT E_4.16.25_Office Reassignment Photo.docx,1,125463
04_EXHIBITS/EXHIBIT E_Notes Removal of Authority.docx,04_EXHIBITS,EXHIBIT E_Notes Removal of Authority.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBIT E_Notes Removal of Authority.docx,1,251148
04_EXHIBITS/EXHIBIT F_6.25.25_Wrenn Change of Title.docx,04_EXHIBITS,EXHIBIT F_6.25.25_Wrenn Change of Title.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBITS 3.15/EXHIBIT F_6.25.25_Wrenn Change of Title.docx,1,505516
04_EXHIBITS/EXHIBIT G_9.2.25_Notes on Email Lockout.docx,04_EXHIBITS,EXHIBIT G_9.2.25_Notes on Email Lockout.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBITS 3.15/EXHIBIT G_9.2.25_Notes on Email Lockout.docx,1,14135
04_EXHIBITS/EXHIBIT G_Reputational Risk.docx,04_EXHIBITS,EXHIBIT G_Reputational Risk.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBIT G_Reputational Risk.docx,1,16208
04_EXHIBITS/EXHIBIT H_9.5.25 Brodsky Intro Hayley Cape as Dir of Mktg.docx,04_EXHIBITS,EXHIBIT H_9.5.25 Brodsky Intro Hayley Cape as Dir of Mktg.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBITS 3.15/EXHIBIT H_9.5.25 Brodsky Intro Hayley Cape as Dir of Mktg.docx,1,14766
04_EXHIBITS/EXHIBIT I 2.25.26_Investment News Article.docx,04_EXHIBITS,EXHIBIT I 2.25.26_Investment News Article.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBITS 3.15/EXHIBIT I 2.25.26_Investment News Article.docx,1,645697
04_EXHIBITS/EXHIBIT J 2.25.26_Email TP Reputational Risk.docx,04_EXHIBITS,EXHIBIT J 2.25.26_Email TP Reputational Risk.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBITS 3.15/EXHIBIT J 2.25.26_Email TP Reputational Risk.docx,1,463503
04_EXHIBITS/EXHIBIT K. 3.12.26_Response Rate.pages,04_EXHIBITS,EXHIBIT K. 3.12.26_Response Rate.pages,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBITS 3.15/EXHIBIT K. 3.12.26_Response Rate.pages,1,754441
04_EXHIBITS/EXHIBIT K. 3.12.26_Response Rate.pdf,04_EXHIBITS,EXHIBIT K. 3.12.26_Response Rate.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBIT K. 3.12.26_Response Rate.pdf,1,133712
04_EXHIBITS/EXHIBIT K_6.25.25 Email Footer AWrenn Title Change.png,04_EXHIBITS,EXHIBIT K_6.25.25 Email Footer AWrenn Title Change.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBIT K_6.25.25 Email Footer AWrenn Title Change.png,1,238244
04_EXHIBITS/EXHIBIT+A_11.19.24_Organizational+Chart+Showing+Authority.png,04_EXHIBITS,EXHIBIT+A_11.19.24_Organizational+Chart+Showing+Authority.png,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/EXHIBIT+A_11.19.24_Organizational+Chart+Showing+Authority.png,2,147343
04_EXHIBITS/EXHIBIT_10.24.25 Txt Ford No Response.png,04_EXHIBITS,EXHIBIT_10.24.25 Txt Ford No Response.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBIT_10.24.25 Txt Ford No Response.png,1,402050
04_EXHIBITS/Email Exhibit GL Budget.png,04_EXHIBITS,Email Exhibit GL Budget.png,99_ARCHIVE/original-tree/LORD V CDI/Email Exhibit GL Budget.png,1,186635
06_WORK_PRODUCT/02.17.25 Marketing Proposal ELord.docx,06_WORK_PRODUCT,02.17.25 Marketing Proposal ELord.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/02.17.25 Marketing Proposal ELord.docx,2,23422
06_WORK_PRODUCT/9.2.25  Discussion Notes.docx,06_WORK_PRODUCT,9.2.25  Discussion Notes.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/9.2.25  Discussion Notes.docx,2,13981
06_WORK_PRODUCT/CASE NOTES 11.14.25.docx,06_WORK_PRODUCT,CASE NOTES 11.14.25.docx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/ESL Nov 14 T Phillips/CASE NOTES 11.14.25.docx,1,17096
06_WORK_PRODUCT/Employment Change Proposal_CMO.docx,06_WORK_PRODUCT,Employment Change Proposal_CMO.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/Employment Change Proposal_CMO.docx,2,24944
06_WORK_PRODUCT/Employment Proposal_VPM copy.docx,06_WORK_PRODUCT,Employment Proposal_VPM copy.docx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Employment Proposal_VPM copy.docx,1,20934
06_WORK_PRODUCT/HR Statement.docx,06_WORK_PRODUCT,HR Statement.docx,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/HR Statement.docx,1,15921
06_WORK_PRODUCT/Lord v CDI HR Mtg Response 3.13.25.docx,06_WORK_PRODUCT,Lord v CDI HR Mtg Response 3.13.25.docx,99_ARCHIVE/original-tree/Uploads/Lord v CDI HR Mtg Response 3.13.25.docx,3,17321
06_WORK_PRODUCT/Lord v CDI Req for Performance Review.docx,06_WORK_PRODUCT,Lord v CDI Req for Performance Review.docx,99_ARCHIVE/original-tree/Uploads/Lord v CDI Req for Performance Review.docx,3,306720
06_WORK_PRODUCT/Lord v CDI Req for Performance Review__1.docx,06_WORK_PRODUCT,Lord v CDI Req for Performance Review.docx,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/Lord v CDI Req for Performance Review.docx,1,306732
06_WORK_PRODUCT/Lord v CDI_Evidence of Fraud.docx,06_WORK_PRODUCT,Lord v CDI_Evidence of Fraud.docx,99_ARCHIVE/original-tree/Uploads/Lord v CDI_Evidence of Fraud.docx,3,529514
06_WORK_PRODUCT/Lord v CDI_HR Response to Charges 11.24.2025.pdf,06_WORK_PRODUCT,Lord v CDI_HR Response to Charges 11.24.2025.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/UPLOADS 2.23.26/Lord v CDI_HR Response to Charges 11.24.2025.pdf,1,394819
06_WORK_PRODUCT/SM Reporting.docx,06_WORK_PRODUCT,SM Reporting.docx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/SM Reporting.docx,3,17536
